# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
51000 200
196 11.73 0.990972 353.61
197 11.79 0.995521 359.048
198 11.85 0.991845 364.52
199 11.91 0.998813 370.088
200 11.97 1.00225 375.73
55000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 0.00763033 0.0016
40 2.37 0.0525545 0.0132
41 2.43 0.2603 0.0736
42 2.49 0.733871 0.2524
43 2.55 1.43784 0.6198
44 2.61 2.10917 1.1844
45 2.67 2.63729 1.9232
46 2.73 2.86478 2.7622
47 2.79 2.89785 3.6486
48 2.85 2.67186 4.5014
49 2.91 2.45824 5.3194
50 2.97 2.25952 6.1026
51 3.03 1.96082 6.81
52 3.09 1.67432 7.4382
53 3.15 1.49112 8.0196
54 3.21 1.28673 8.5406
55 3.27 1.1238 9.0128
56 3.33 0.95699 9.4298
57 3.39 0.898614 9.8356
58 3.45 0.812896 10.2158
59 3.51 0.766339 10.5868
60 3.57 0.710047 10.9424
61 3.63 0.67634 11.2926
62 3.69 0.609668 11.6188
63 3.75 0.631576 11.9678
64 3.81 0.576077 12.2964
65 3.87 0.571267 12.6326
66 3.93 0.574059 12.981
67 3.99 0.586017 13.3476
68 4.05 0.578092 13.7202
69 4.11 0.597795 14.117
70 4.17 0.607352 14.532
71 4.23 0.632628 14.9768
72 4.29 0.67175 15.4626
73 4.35 0.733502 16.008
74 4.41 0.730952 16.5666
75 4.47 0.813608 17.2054
76 4.53 0.840316 17.883
77 4.59 0.926479 18.65
78 4.65 0.975931 19.4792
79 4.71 1.04575 20.3908
80 4.77 1.09164 21.3668
81 4.83 1.12141 22.3948
82 4.89 1.14962 23.475
83 4.95 1.17052 24.602
84 5.01 1.22944 25.8146
85 5.07 1.25952 27.0868
86 5.13 1.27704 28.4074
87 5.19 1.28396 29.7664
88 5.25 1.28747 31.1608
89 5.31 1.2885 32.5884
90 5.37 1.26711 34.0242
91 5.43 1.28 35.5072
92 5.49 1.25859 36.9978
93 5.55 1.17865 38.4244
94 5.61 1.1602 39.8592
95 5.67 1.13182 41.289
96 5.73 1.06793 42.6668
97 5.79 1.0652 44.07
98 5.85 1.00509 45.4216
99 5.91 0.95564 46.7332
100 5.97 0.925675 48.0296
101 6.03 0.899506 49.3148
102 6.09 0.891476 50.614
103 6.15 0.838909 51.8608
104 6.21 0.848513 53.1466
105 6.27 0.817333 54.4092
106 6.33 0.825158 55.7084
107 6.39 0.821203 57.026
108 6.45 0.829975 58.3828
109 6.51 0.8312 59.767
110 6.57 0.843798 61.1982
111 6.63 0.862984 62.6888
112 6.69 0.867817 64.215
113 6.75 0.882396 65.7948
114 6.81 0.909169 67.4516
115 6.87 0.929162 69.1748
116 6.93 0.968359 71.0022
117 6.99 0.980869 72.8854
118 7.05 0.978991 74.7974
119 7.11 1.03946 76.8622
120 7.17 1.06293 79.0094
121 7.23 1.06551 81.198
122 7.29 1.0785 83.4502
123 7.35 1.10581 85.7976
124 7.41 1.09604 88.1624
125 7.47 1.09429 90.5618
126 7.53 1.10313 93.0196
127 7.59 1.11244 95.5378
128 7.65 1.1208 98.1152
129 7.71 1.1119 100.712
130 7.77 1.08611 103.289
131 7.83 1.08323 105.899
132 7.89 1.06559 108.505
133 7.95 1.07107 111.165
134 8.01 1.07103 113.865
135 8.07 1.0357 116.516
136 8.13 1.03479 119.203
137 8.19 1.01263 121.872
138 8.25 1.01246 124.58
139 8.31 0.984627 127.252
140 8.37 0.974484 129.935
141 8.43 0.964458 132.628
142 8.49 0.954899 135.332
143 8.55 0.954912 138.075
144 8.61 0.930939 140.787
