# Time-averaged data for fix rdf2_out
# TimeStep Number-of-rows
# Row c_rdf2[1] c_rdf2[2] c_rdf2[3]
240000 100
60 4.76 0.946435 21.46
61 4.84 0.977042 22.6322
62 4.92 1.01576 23.8915
63 5 1.0389 25.2216
64 5.08 1.077 26.6451
65 5.16 1.1071 28.1547
66 5.24 1.12848 29.7416
67 5.32 1.14642 31.4033
68 5.4 1.15542 33.1289
69 5.48 1.14764 34.8939
70 5.56 1.14133 36.7009
71 5.64 1.12348 38.5311
72 5.72 1.10106 40.3761
73 5.8 1.08666 42.2483
74 5.88 1.07037 44.1436
75 5.96 1.04326 46.0415
76 6.04 1.02375 47.9542
77 6.12 1.00947 49.8906
78 6.2 0.994356 51.8481
79 6.28 0.983918 53.8354
80 6.36 0.972829 55.8507
81 6.44 0.964503 57.8994
82 6.52 0.945335 59.9575
83 6.6 0.933182 62.0393
84 6.68 0.924586 64.1522
85 6.76 0.926895 66.3215
86 6.84 0.927776 68.5445
87 6.92 0.925206 70.8135
88 7 0.924613 73.1338
89 7.08 0.931053 75.524
90 7.16 0.941702 77.9964
91 7.24 0.949392 80.5451
92 7.32 0.960053 83.1796
93 7.4 0.971902 85.9053
94 7.48 0.983848 88.7244
95 7.56 1.00025 91.6522
96 7.64 1.01403 94.6835
97 7.72 1.03008 97.8276
98 7.8 1.03662 101.058
99 7.88 1.05136 104.401
100 7.96 1.06495 107.857
240900 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.000402226 9.25926e-05
28 2.2 0.00776898 0.00201852
29 2.28 0.0397837 0.0126111
30 2.36 0.154308 0.0566296
31 2.44 0.446489 0.192778
32 2.52 1.19377 0.581056
33 2.6 2.1041 1.30956
34 2.68 2.45644 2.21319
35 2.76 2.57712 3.21865
36 2.84 2.44058 4.22683
37 2.92 2.12125 5.15317
38 3 1.81518 5.98987
39 3.08 1.55666 6.74619
40 3.16 1.36261 7.44306
41 3.24 1.2034 8.09006
42 3.32 1.06364 8.6905
43 3.4 0.948426 9.25202
44 3.48 0.891589 9.80502
45 3.56 0.837134 10.3484
46 3.64 0.806856 10.8959
47 3.72 0.765995 11.4388
48 3.8 0.73834 11.9848
49 3.88 0.736189 12.5524
