# Time-averaged data for fix rdf3_out
# TimeStep Number-of-rows
# Row c_rdf3[1] c_rdf3[2] c_rdf3[3]
370000 100
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.0106815 0.00235185
28 2.2 0.0631062 0.0173148
29 2.28 0.180631 0.0633148
30 2.36 0.400307 0.172537
31 2.44 0.765679 0.395852
32 2.52 1.36871 0.821648
33 2.6 1.93709 1.46313
34 2.68 2.11671 2.20789
35 2.76 2.14516 3.00839
36 2.84 2.04303 3.81561
37 2.92 1.87588 4.59913
38 3 1.68531 5.34215
39 3.08 1.50497 6.04152
40 3.16 1.36811 6.71074
41 3.24 1.23793 7.34733
42 3.32 1.13605 7.96074
43 3.4 1.03048 8.54428
44 3.48 0.970721 9.12015
45 3.56 0.922604 9.69293
46 3.64 0.895479 10.2741
47 3.72 0.851042 10.851
48 3.8 0.80988 11.4239
49 3.88 0.796415 12.0112
50 3.96 0.807257 12.6313
51 4.04 0.807614 13.277
52 4.12 0.796043 13.9389
53 4.2 0.81757 14.6454
54 4.28 0.813998 15.3758
55 4.36 0.82875 16.1476
56 4.44 0.851507 16.9698
57 4.52 0.8683 17.8388
58 4.6 0.890048 18.7614
59 4.68 0.917633 19.7459
60 4.76 0.935969 20.7847
61 4.84 0.968772 21.8964
62 4.92 0.992732 23.0735
63 5 1.02216 24.3253
64 5.08 1.0477 25.6497
65 5.16 1.06052 27.0329
66 5.24 1.07932 28.4846
67 5.32 1.08892 29.9942
68 5.4 1.09415 31.5571
69 5.48 1.08595 33.1546
70 5.56 1.08914 34.8038
71 5.64 1.09096 36.5037
72 5.72 1.08276 38.2391
73 5.8 1.07056 40.0032
74 5.88 1.06523 41.8073
75 5.96 1.046 43.6273
76 6.04 1.04156 45.4886
77 6.12 1.02826 47.3752
78 6.2 1.01635 49.2889
79 6.28 1.00534 51.2311
80 6.36 1.0018 53.2161
81 6.44 0.984374 55.2159
82 6.52 0.970877 57.2376
83 6.6 0.965163 59.297
84 6.68 0.952011 61.3779
85 6.76 0.95448 63.5145
86 6.84 0.950069 65.6918
87 6.92 0.945764 67.9103
88 7 0.947076 70.1835
89 7.08 0.949808 72.5156
90 7.16 0.9548 74.9134
91 7.24 0.959499 77.377
92 7.32 0.970695 79.9248
93 7.4 0.970925 82.5292
94 7.48 0.979079 85.2125
95 7.56 0.99127 87.9877
96 7.64 0.997712 90.8404
97 7.72 1.00862 93.7849
98 7.8 1.017 96.8158
99 7.88 1.02289 99.927
100 7.96 1.03192 103.13
370900 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
